bank_txn_id,settlement_id,posted_amount,posting_date,status,notes
BKTXN0001,SEL010,6442.475000,2024-02-21,posted,PLANTED:settlement_posted_late
BKTXN0002,SEL011,24028.000000,2024-02-12,posted,PLANTED:posted_amount_mismatch
BKTXN0003,SEL012,10805.300000,2024-03-08,reversed,PLANTED:posting_reversed|original_post
BKTXN0004,SEL012,0.000000,2024-03-09,reversal_entry,PLANTED:posting_reversed|reversal_debit
BKTXN0005,SEL013,9410.320000,2024-03-13,held,PLANTED:hold_placed_then_cleared|hold_event
BKTXN0006,SEL013,9410.320000,2024-03-15,posted,PLANTED:hold_placed_then_cleared|cleared_event
BKTXN0007,SEL001,9787.600000,2024-02-14,posted,
BKTXN0008,SEL002,14734.500000,2024-02-23,posted,
BKTXN0009,SEL003,16080.000000,2024-01-19,posted,
BKTXN0010,SEL004,7929.200000,2024-02-09,posted,
BKTXN0011,SEL008,8808.840000,2024-02-19,posted,
BKTXN0012,SEL016,5059.758546,2024-03-15,posted,
BKTXN0013,SEL017,11779.924706,2024-02-06,posted,
BKTXN0014,SEL018,9652.658359,2024-02-21,posted,
BKTXN0015,SEL019,4697.020302,2024-02-12,posted,
BKTXN0016,SEL020,22877.859231,2024-03-20,posted,
BKTXN0017,SEL021,17810.182517,2024-02-11,posted,
BKTXN0018,SEL022,1712.614673,2024-02-07,posted,
BKTXN0019,SEL023,9464.941978,2024-02-10,posted,
BKTXN0020,SEL024,21235.304199,2024-02-18,posted,
BKTXN0021,SEL025,1578.730092,2024-03-13,posted,
BKTXN0022,SEL026,8652.091586,2024-03-12,posted,
BKTXN0023,SEL027,22860.407940,2024-03-21,posted,
BKTXN0024,SEL028,9538.936234,2024-03-03,posted,
BKTXN0025,SEL029,11909.708282,2024-03-04,posted,
BKTXN0026,SEL030,756.160613,2024-03-28,posted,
BKTXN0027,SEL031,7043.734428,2024-03-24,posted,
BKTXN0028,SEL032,17838.615495,2024-03-19,posted,
BKTXN0029,SEL033,11896.592898,2024-02-25,posted,
BKTXN0030,SEL034,9328.473472,2024-02-14,posted,
BKTXN0031,SEL035,14307.308140,2024-03-25,posted,
BKTXN0032,SEL036,4296.795550,2024-02-10,posted,
BKTXN0033,SEL037,4459.788453,2024-02-29,posted,
BKTXN0034,SEL038,14609.500290,2024-02-27,posted,
BKTXN0035,SEL039,11348.526448,2024-03-15,posted,
BKTXN0036,SEL040,2273.111374,2024-03-27,posted,
BKTXN0037,SEL041,19349.762209,2024-03-21,posted,
BKTXN0038,SEL042,5613.756281,2024-03-09,posted,
BKTXN0039,SEL043,3724.289464,2024-03-01,posted,
BKTXN0040,SEL044,12524.976393,2024-03-12,posted,
BKTXN0041,SEL045,15335.280193,2024-03-28,posted,
BKTXN0042,SEL046,8383.236002,2024-03-13,posted,
BKTXN0043,SEL047,3344.765486,2024-03-20,posted,
BKTXN0044,SEL048,9845.092362,2024-02-07,posted,
BKTXN0045,SEL049,12369.382916,2024-03-26,posted,
BKTXN0046,SEL050,10045.943702,2024-02-09,posted,
BKTXN0047,SEL051,16152.587572,2024-02-12,posted,
BKTXN0048,SEL052,19171.942020,2024-02-22,posted,
BKTXN0049,SEL053,15522.471591,2024-03-15,posted,
BKTXN0050,SEL054,15742.840773,2024-02-14,posted,
BKTXN0051,SEL055,9122.973728,2024-02-26,posted,
BKTXN0052,SEL056,11490.807878,2024-03-18,posted,
BKTXN0053,SEL057,3432.971509,2024-03-19,posted,
BKTXN0054,SEL058,7542.168161,2024-03-15,posted,
BKTXN0055,SEL059,10577.514453,2024-03-09,posted,
BKTXN0056,SEL060,19536.561957,2024-02-15,posted,
BKTXN0057,SEL061,11613.172989,2024-03-01,posted,
BKTXN0058,SEL062,23437.835168,2024-03-16,posted,
BKTXN0059,SEL063,13851.805220,2024-02-20,posted,
BKTXN0060,SEL064,2795.822260,2024-03-30,posted,
