claim_id,item_type,payment_id,settlement_id,merchant_id,gateway_id,txn_date,amount_inr,claim_amount_inr,root_cause,confidence_score,rule_id,evidence_text,suggested_action
CLM-FEE-0001,FEE_OVERCHARGE,PAY001,SEL001,MER001,GW_ALPHA,2024-02-10,"10,000.00",35.40,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 150.00, Expected Tax Rs 27.00, Expected Total Rs 177.00. Gateway Actual Deducted: MDR Rs 180.00, Tax Rs 32.40, Total Rs 212.40. Overcharge: Rs 35.40. Details: Txn date 2024-02-10 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0002,FEE_OVERCHARGE,PAY002,SEL002,MER001,GW_ALPHA,2024-02-20,"15,000.00",53.10,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 180.00, Expected Tax Rs 32.40, Expected Total Rs 212.40. Gateway Actual Deducted: MDR Rs 225.00, Tax Rs 40.50, Total Rs 265.50. Overcharge: Rs 53.10. Details: Contract rule RUL005 specifies expected MDR Rs 180.000000; gateway billed Rs 225.000000.",Claim refund for MDR overbilling.
CLM-FEE-0003,FEE_OVERCHARGE,PAY003,SEL003,MER002,GW_BETA,2024-01-15,"20,000.00","3,542.40",wrong_tax_base,99,RUL009,"Contract Rule RUL009: Expected MDR fee Rs 320.00, Expected Tax Rs 57.60, Expected Total Rs 377.60. Gateway Actual Deducted: MDR Rs 320.00, Tax Rs 3,600.00, Total Rs 3,920.00. Overcharge: Rs 3,542.40. Details: Expected GST on MDR: Rs 57.600000. Actual GST charged: Rs 3600.000000 (~18% of gross amount).",Issue dispute notice for improper GST tax base calculation and claim overcharge.
CLM-FEE-0004,FEE_OVERCHARGE,PAY004,SEL004_DUP,MER001,GW_ALPHA,2024-02-05,"8,000.00",70.80,duplicate_fee,100,RUL007,"Contract Rule RUL007: Expected MDR fee Rs 0.00, Expected Tax Rs 0.00, Expected Total Rs 0.00. Gateway Actual Deducted: MDR Rs 60.00, Tax Rs 10.80, Total Rs 70.80. Overcharge: Rs 70.80. Details: Payment PAY004 had multiple settlement rows. Duplicate deduction amounted to Rs 70.800000.",Request reversal and refund of duplicate fee deduction from payment gateway.
CLM-FEE-0005,FEE_OVERCHARGE,PAY008,SEL008,MER001,GW_ALPHA,2024-02-15,"9,000.00",31.86,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 135.00, Expected Tax Rs 24.30, Expected Total Rs 159.30. Gateway Actual Deducted: MDR Rs 162.00, Tax Rs 29.16, Total Rs 191.16. Overcharge: Rs 31.86. Details: Txn date 2024-02-15 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0006,FEE_OVERCHARGE,PAY016,SEL016,MER001,GW_ALPHA,2024-03-12,"5,169.56",18.30,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 77.54, Expected Tax Rs 13.96, Expected Total Rs 91.50. Gateway Actual Deducted: MDR Rs 93.05, Tax Rs 16.75, Total Rs 109.80. Overcharge: Rs 18.30. Details: Txn date 2024-03-12 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0007,FEE_OVERCHARGE,PAY017,SEL017,MER001,GW_ALPHA,2024-02-02,"12,035.56",42.61,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 180.53, Expected Tax Rs 32.50, Expected Total Rs 213.03. Gateway Actual Deducted: MDR Rs 216.64, Tax Rs 39.00, Total Rs 255.64. Overcharge: Rs 42.61. Details: Txn date 2024-02-02 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0008,FEE_OVERCHARGE,PAY018,SEL018,MER001,GW_ALPHA,2024-02-16,"9,862.13",34.91,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 147.93, Expected Tax Rs 26.63, Expected Total Rs 174.56. Gateway Actual Deducted: MDR Rs 177.52, Tax Rs 31.95, Total Rs 209.47. Overcharge: Rs 34.91. Details: Txn date 2024-02-16 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0009,FEE_OVERCHARGE,PAY019,SEL019,MER001,GW_ALPHA,2024-02-09,"4,798.95",16.99,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 71.98, Expected Tax Rs 12.96, Expected Total Rs 84.94. Gateway Actual Deducted: MDR Rs 86.38, Tax Rs 15.55, Total Rs 101.93. Overcharge: Rs 16.99. Details: Txn date 2024-02-09 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0010,FEE_OVERCHARGE,PAY020,SEL020,MER001,GW_ALPHA,2024-03-15,"23,374.33",82.75,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 350.61, Expected Tax Rs 63.11, Expected Total Rs 413.73. Gateway Actual Deducted: MDR Rs 420.74, Tax Rs 75.73, Total Rs 496.47. Overcharge: Rs 82.75. Details: Txn date 2024-03-15 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
